name,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,2060
Line Creek - South,12601889.87,6300945.118,3150473.134,1575237.275,787619.484,393810.0254,196905.4345,98453.28159,49227.37532,24614.20962,12307.96695,6154.672658,3077.808641,1539.120343,769.8491978,385.5703521,193.2318591
Littlemoor Creek,278279.9561,139140.5925,69570.4836,34785.65038,17392.9995,8696.591152,4348.448566,2175.211746,1088.540536,544.2959184,272.6485784,136.8360598,69.35750171,35.53403638,18.01109926,9.964752421,5.959360962
Lizard Creek,20877099.91,10438550.7,5219275.951,2609638.698,1304820.184,652410.2256,326205.669,163102.9282,81551.82567,40776.28374,20388.75424,10194.41335,5097.483027,2549.309727,1275.340486,637.8663219,319.6318965
Lladnar Creek,6655070.026,3327535.893,1663768.105,831884.5745,415942.5916,207971.5632,103985.9742,51993.48259,25997.55973,12999.2363,6500.009818,3250.106149,1626.016252,813.0229237,406.5238023,203.9480343,102.1314747
Lowe Creek,4707300.018,2353650.324,1176825.264,588413.2838,294207.2793,147104.52,73552.33158,36776.24219,18388.18355,9194.444894,4597.462452,2299.009907,1149.613406,575.3939682,288.2515138,145.0375445,73.30649664
Marten Creek,13386769.91,6693385.477,3346693.031,1673347.217,836674.1418,418337.3473,209168.7059,104584.9416,52293.32293,26146.93158,13073.85964,6537.297324,3268.911215,1635.404807,817.9767864,409.7999891,205.0054565
Matheson Creek,10599560.08,5299780.396,2649890.462,1324945.94,662473.3556,331237.3045,165618.7745,82810.28701,41405.68313,20703.33949,10352.34074,5176.441952,2589.205867,1294.659664,647.8711791,324.3843578,162.2620412
McCool Creek,6125559.9,3062780.879,1531391.064,765696.0961,382848.5146,191424.8728,95712.57818,47856.97672,23929.35857,11965.60597,5983.605153,2992.109407,1496.741077,749.2524982,375.4932668,188.1811289,94.73472233
Michel Creek - Lower,998039.9292,499020.1719,249510.8534,124755.6643,62378.43036,31190.18424,15595.5043,7798.247057,3900.113043,1950.885628,976.256251,488.5167018,244.7848322,123.3674704,62.50248264,31.37570871,16.02430373
Michel Creek - Mid 1,7826449.878,3913225.567,1956613.603,978306.9869,489154.4464,244577.3654,122289.1489,61145.12441,30573.25695,15286.79553,7643.417146,3822.143253,1911.954168,956.2603489,478.7215306,239.7205973,119.9405416
Michel Creek - Mid 2,9995069.763,4997535.427,2498768.172,1249384.728,624693.2858,312346.7259,156173.4595,78087.6776,39044.03645,19522.57775,9762.279204,4881.696902,2441.436061,1221.466668,611.5008678,306.2712493,153.8156051
Michel Creek - Upper,12842140.1,6421070.665,3210535.607,1605268.001,802634.2107,401317.659,200659.3314,100330.2758,50165.50726,25083.07352,12541.65004,6271.625588,3136.194863,1568.138685,785.0204944,393.1956582,196.7587958
Morrissey Creek,35976769.96,17988385.32,8994192.865,4497097.086,2248548.677,1124274.542,562137.9473,281069.0504,140534.9562,70267.53267,35134.74531,17567.58168,8784.773235,4392.743089,2196.820492,1099.088666,549.6235101
Nordstrum Creek,2190249.86,1095125.665,547563.4829,273781.7658,136891.6635,68446.57049,34223.55485,17111.95372,8556.44501,4278.655796,2140.256512,1070.424056,535.5305933,268.1560366,134.9018924,67.66640451,34.63962794
Quarrie Creek,24133399.9,12066700.82,6033350.731,3016675.976,1508338.302,754169.9501,377085.8909,188543.9146,94272.47082,47136.86657,23568.52642,11785.13133,5892.762463,2947.319054,1474.412631,737.4820644,369.4055688
Summit Creek,3637769.971,1818885.648,909442.9484,454721.8315,227361.1209,113681.4245,56841.48482,28421.71614,14211.73076,7106.777848,3554.259967,1777.861124,889.6174626,445.7402108,223.4199941,112.3911079,56.39739046
Swift Creek,5380709.955,2690355.082,1345177.597,672589.5128,336295.2065,168148.5653,84074.75954,42038.18504,21019.43183,10510.45541,5255.384433,2628.552239,1314.97863,658.2763766,329.8601659,165.3817619,82.99579597
Telford Creek,7293120.056,3646560.369,1823280.971,911640.7215,455820.5382,227910.5259,113956.2251,56978.11772,28489.92259,14245.85983,7123.140289,3562.372051,1781.597892,891.5591181,446.2122086,223.9679439,112.6178991
Tobermory Creek,22113249.96,11056625.38,5528312.934,2764157.187,1382079.164,691040.013,345520.5872,172760.5885,86380.614,43190.46308,21595.99439,10798.85896,5399.703618,2700.650516,1350.779762,675.4556623,337.8918506
Todhunter Creek,7769030.066,3884515.9,1942258.355,971129.9521,485565.1371,242782.8916,121392.3129,60696.69433,30349.31113,15175.26291,7588.02965,3794.188326,1897.902526,949.3496717,475.5977795,238.1811307,119.3332338
Upper Elk Lakes,41480939.88,20740470.51,10370235.96,5185118.224,2592560.046,1296280.036,648140.5194,324070.3095,162035.5682,81018.69839,40509.55232,20255.5716,10128.139,5064.320191,2532.828554,1267.019519,634.1372673
Weary Creek,9950690.015,4975345.075,2487673.457,1243837.386,621919.6419,310959.9477,155480.4298,77740.95955,38870.75373,19436.10943,9719.008205,4859.845269,2430.551917,1215.86221,608.4647329,304.8641468,153.3222754
Weigert Creek,8145490.21,4072745.706,2036373.727,1018187.488,509094.6048,254548.119,127274.2163,63637.72282,31819.00549,15909.55104,7955.446483,3977.874794,1989.820168,995.1637777,498.0680024,249.7587801,125.2884601
Wheeler Creek,5814269.946,2907135.379,1453567.79,726783.9729,363392.7303,181697.3417,90849.38059,45424.74214,22712.7812,11356.48745,5678.440506,2840.072203,1420.074845,710.509281,355.8510413,178.5140129,89.69593117
