"row","col","Year","dummy","dummy2","fish_habitat","road_density"
135,114,"1930",0.222355434,0.592019183,0.511326014995575,0.533254027366638
101,38,"1900",0.222899537,1.747426583,1,0
199,64,"1970",0.380440978,1.059016908,0.991258978843689,0
89,65,"1920",0.374996638,1.688096303,0.995000004768372,0
9,19,"2010",0.369089467,0.208671058,0.567247986793518,0
75,42,"1900",0.715001446,1.831503223,1,0
175,73,"1920",0.021071013,1.88558576,0.934625029563904,0.275922000408173
178,107,"2030",0.341019573,0.742084058,0.609408974647522,1.04783594608307
86,22,"1950",0.666211512,0.309877809,0.278658002614975,2.98402810096741
6,36,"2060",0.297161942,0.028810783,0.892215013504028,0
46,116,"2040",0.080940273,0.961059846,0.995000004768372,0
24,112,"1990",0.817107164,1.970328831,0.995000004768372,0
45,68,"1900",0.113025945,1.031399188,1,0
6,69,"2050",0.123844592,1.907195618,0.995000004768372,0
125,96,"1990",0.622462929,1.109990653,0.814291000366211,0.207221001386642
113,125,"2050",0.651732645,1.985121752,0.945266008377075,0
3,38,"1920",0.921696607,0.448127206,0.995000004768372,0
18,66,"1990",0.725050825,1.733531398,0.948939979076385,0
93,68,"1980",0.993130747,0.195417169,0.929040014743805,0
60,57,"2020",0.754172758,1.830870863,0.63357400894165,0
83,124,"1900",0.053530693,0.144350371,1,0
130,129,"2030",0.069892949,1.237025827,0.0473450012505054,2.97946810722351
147,123,"1900",0.609250289,1.609725297,1,0
110,69,"1920",0.188918652,1.230700754,0.994933009147644,0.00115999998524785
3,106,"1970",0.619734496,1.338247854,0.995000004768372,0
153,119,"1960",0.848753834,1.367761337,0.0041189999319613,1.53594696521759
162,100,"2000",0.345269135,0.569989565,0.178045004606247,2.28500199317932
140,39,"1980",0.158101009,1.892249599,0.584533989429474,0.148275002837181
74,117,"2040",0.614878173,0.204887125,0.174389004707336,2.68499994277954
148,76,"2010",0.183107902,1.149508061,0.0102669997140765,5.24309301376343
170,134,"1900",0.374959836,1.44321154,1,0
117,115,"1900",0.849684205,0.989222611,1,0
87,76,"2020",0.860637355,0.354229062,0.396874010562897,0.157588005065918
51,67,"2020",0.69342405,1.782686414,0.943297028541565,0
26,28,"1930",0.215310775,0.904932477,0.995000004768372,0
153,70,"2060",0.281816344,0.182362214,0.017883000895381,4.75838279724121
157,40,"1910",0.060547715,1.121598279,0.991258978843689,0
86,107,"1920",0.702686346,0.6031784,0.995000004768372,0
92,99,"2060",0.553962869,1.647483078,0.764245986938477,0
35,70,"2030",0.344759224,0.180754748,0.69871598482132,0.950977981090546
88,34,"1960",0.48707104,0.784752746,0.245039001107216,2.30453300476074
35,16,"1900",0.565935895,1.696671585,1,0
147,7,"2060",0.732052745,1.441442669,0.991258978843689,0
242,96,"1960",0.948088352,0.860989903,0.675828993320465,0.689625978469849
140,39,"2020",0.725345695,1.635941656,0.0417499989271164,2.05805397033691
199,79,"1940",0.163857502,1.468354541,0.758939027786255,0.733335018157959
213,136,"1940",0.977089583,0.45549087,0.660529971122742,0.607771992683411
217,109,"2040",0.836823894,1.429130052,0.384030014276505,2.87211203575134
215,69,"2060",0.031129864,0.105528484,0.251428991556168,3.66039395332336
31,26,"2020",0.298659282,0.061989502,0.990540027618408,0
165,31,"1940",0.034493326,0.593381766,0.990209996700287,0.000348000001395121
109,77,"1970",0.340232916,1.718598698,0.985517024993896,0.090818002820015
64,60,"1970",0.820777723,1.628178915,0.990463018417358,0.0781000033020973
88,68,"1930",0.116613369,1.66649267,0.995000004768372,0
212,75,"1910",0.358178546,0.304189756,0.865378975868225,0.303310006856918
237,104,"1930",0.802078111,0.260473562,0.653644025325775,0.684309005737305
48,28,"2000",0.352977886,0.148645589,0.766882002353668,0
133,123,"2020",0.100750177,0.184895787,0.610755980014801,0.929318010807037
45,60,"2010",0.686826202,0.893438958,0.834756016731262,0
210,95,"1910",0.216984041,1.540555472,0.905704021453857,0.375211000442505
85,30,"1940",0.88765498,0.818253002,0.993184983730316,0.0317529998719692
185,85,"1920",0.505644149,0.08786193,0.970744013786316,0.367700010538101
16,41,"1990",0.37472551,1.812740668,0.516440987586975,1.68173003196716
21,46,"2030",0.295170339,0.524616199,0.949406027793884,0
52,48,"2000",0.072915815,1.333011346,0.866569995880127,0
71,43,"1990",0.190034511,0.030639972,0.987581014633179,0
173,36,"1970",0.393379324,1.576981117,0.991258978843689,0
56,111,"2050",0.926321432,0.408528711,0.916857004165649,0.671917021274567
189,130,"1980",0.012314075,1.06136566,0.563471019268036,0.824338972568512
22,91,"1920",0.594746665,1.405620787,0.995000004768372,0
68,24,"2000",0.296644031,0.199884517,0.834975004196167,0.0750110000371933
177,87,"1970",0.170137646,0.981462623,0.20660699903965,2.57259893417358
19,48,"1900",0.821157902,0.858875906,1,0
174,132,"1940",0.920420475,0.583345877,0.615773022174835,0.971967995166779
66,126,"1930",0.050747376,0.312094007,0.995000004768372,0
6,21,"2050",0.115143369,1.40873526,0.561805009841919,0
181,39,"1930",0.685832104,1.441224925,0.991258978843689,0
17,109,"1960",0.404687366,1.891485201,0.995000004768372,0
128,111,"1970",0.021571719,0.617055511,0.611720979213715,0.832360029220581
63,35,"1940",0.160678327,0.826755749,0.995000004768372,0
14,80,"2030",0.308422291,1.299367074,0.995000004768372,0
142,111,"2040",0.346997779,0.045584488,0.267343997955322,2.58620190620422
17,121,"1930",0.923684895,1.653632247,0.995000004768372,0
42,72,"2050",0.824604426,0.190044494,0.860024988651276,0.230000004172325
30,99,"1970",0.615494437,1.433861573,0.995000004768372,0
197,131,"1970",0.434160247,1.343739693,0.308115005493164,2.11521005630493
102,75,"1980",0.377610515,0.77412162,0.258787006139755,0.359508007764816
52,113,"1960",0.491167003,0.241138279,0.995000004768372,0
19,81,"1970",0.462198441,0.156714085,0.995000004768372,0
162,26,"2040",0.012918453,1.700332383,0.915493011474609,0.0991770029067993
6,52,"2020",0.653186457,0.113991667,0.913132011890411,0
136,21,"2050",0.462020335,0.312568618,0.00999999977648258,3.97970104217529
38,53,"2000",0.490443611,0.415149383,0.212521001696587,2.2669849395752
228,74,"1990",0.987818084,0.441722152,0.760818004608154,0.226494997739792
136,127,"1910",0.628924665,1.300545148,0.994129002094269,0.0149940000846982
142,120,"2030",0.302670566,0.567152577,0.132547006011009,3.23011898994446
73,110,"2060",0.180877079,0.413389567,0.0328369997441769,5.41348123550415
41,18,"2010",0.079511152,1.007398758,0.153896003961563,0.669592976570129
51,14,"1950",0.202319214,1.44951741,0.995000004768372,0
164,34,"1960",0.476208938,1.62658698,0.991258978843689,0
32,13,"2050",0.466661758,0.195113999,0.28703698515892,1.27158105373383
101,110,"2010",0.690784023,1.801551721,0.51877498626709,0
132,43,"1970",0.814803817,0.117395699,0.319521009922028,0.768065989017487
222,86,"2040",0.979664522,1.227813033,0.0832509994506836,6.33246088027954
105,123,"2060",0.077342959,0.079285159,0.404574006795883,0.57124000787735
218,120,"2030",0.773977668,0.741984064,0.349202007055283,2.35078501701355
23,81,"1980",0.697748191,1.997070559,0.995000004768372,0
146,16,"1990",0.472125838,1.079168611,0.985352993011475,0
126,63,"2000",0.847728148,1.012192196,0.128892004489899,0.779094994068146
83,64,"2000",0.497239718,1.015624687,0.465294003486633,0
56,62,"2060",0.675862517,1.979940195,0.493313014507294,0.945631980895996
23,85,"1950",0.68621592,1.429948513,0.995000004768372,0
195,66,"1920",0.530128942,0.603835459,0.855931997299194,0.159327998757362
247,100,"1960",0.963394875,0.867647825,0.546863973140717,1.71565794944763
91,55,"1970",0.86367954,0.922422116,0.841639995574951,0.186826005578041
13,43,"1940",0.40255215,1.650008156,0.995000004768372,0
95,39,"2040",0.76032622,1.798002804,0.29169899225235,1.49892497062683
98,129,"1980",0.124373237,0.770629859,0.91203498840332,0
126,9,"2000",0.466703346,1.555715731,0.383982986211777,0.284485012292862
10,17,"2040",0.698257938,0.078136109,0.46085599064827,0
147,23,"2020",0.528744414,1.587033251,0.991257011890411,0
38,61,"2010",0.644529048,1.12976124,0.775018990039825,0
126,52,"2050",0.300960581,1.879438628,0.223101004958153,2.20234608650208
83,78,"1930",0.550124512,0.063952851,0.994939982891083,0.00103799998760223
158,50,"1930",0.892015852,1.565027104,0.985637009143829,0.00311599997803569
33,63,"1940",0.376629665,0.291009385,0.995000004768372,0
172,98,"1910",0.795706911,1.859993036,0.98930299282074,0.0980120003223419
155,81,"1960",0.59919465,1.627361049,0.0702349990606308,2.40162706375122
191,48,"2060",0.2917804,1.604469893,0.552273988723755,0.905389010906219
185,117,"1920",0.13149842,1.886833481,0.946936011314392,0.19013600051403
136,23,"1900",0.132525138,0.65204964,1,0
125,67,"2000",0.461448241,1.59558456,0.498573005199432,0
135,127,"2020",0.046538234,1.097470609,0.556648015975952,1.1757550239563
104,128,"2000",0.724864316,0.269785676,0.945495009422302,0
16,68,"1930",0.839169863,1.431803782,0.995000004768372,0
240,131,"2040",0.494913321,0.882662643,0.441832989454269,1.25667905807495
38,86,"1960",0.414064203,0.025903357,0.995000004768372,0
75,104,"1900",0.098563464,1.494365519,1,0
218,93,"2060",0.561299734,1.033595144,0.132428005337715,3.71871709823608
94,36,"2010",0.007817718,1.819241936,0.169984996318817,2.36661410331726
58,71,"1940",0.580477263,0.577583534,0.995000004768372,0
138,116,"1930",0.423583204,1.897404595,0.48131400346756,0.329876989126205
191,62,"1990",0.618913926,0.150523881,0.392684996128082,0.232016995549202
164,28,"1980",0.344569579,1.722730632,0.991258978843689,0
192,81,"1950",0.37236773,0.248205849,0.614943981170654,1.59282004833221
78,47,"1970",0.265474268,1.193341082,0.849334001541138,0
181,114,"2020",0.347650498,1.074335062,0.0960780009627342,3.58825898170471
199,121,"2050",0.637080502,0.751341991,0.641480028629303,1.07431900501251
184,127,"1920",0.999950539,0.968152525,0.936634004116058,0.205013006925583
10,64,"2000",0.503261064,0.738261675,0.995000004768372,0
219,108,"1990",0.469046072,0.969649176,0.211962997913361,3.39395809173584
50,8,"2020",0.821596204,0.196467117,0.815841972827911,0
47,101,"1950",0.178094306,0.021853623,0.995000004768372,0
18,96,"2050",0.376451143,1.932521752,0.995000004768372,0
186,115,"2050",0.572715744,1.495125409,0.238141998648643,2.42146706581116
107,115,"2040",0.930987642,0.994342669,0.298108994960785,0
165,57,"2030",0.598526893,0.617622013,0.196457996964455,1.27596497535706
113,119,"1980",0.973220609,1.691303541,0.995000004768372,0
142,44,"1980",0.955581319,0.30122998,0.149094000458717,0.950791001319885
5,60,"1920",0.905746763,1.110789296,0.995000004768372,0
130,123,"2000",0.614542625,0.798331818,0.188271000981331,2.959233045578
38,124,"2010",0.094022012,1.489548884,0.995000004768372,0
101,71,"2000",0.115789031,0.663883616,0.0931690037250519,1.27618098258972
104,24,"2060",0.610875243,1.869425383,0.0921939983963966,4.48292779922485
52,117,"1940",0.7390734,0.070831957,0.995000004768372,0
57,71,"1940",0.081253748,0.518643521,0.995000004768372,0
101,80,"2030",0.608890025,0.458046077,0.0716079995036125,1.64023101329803
6,32,"2060",0.358580482,1.266938622,0.746313989162445,0
42,23,"1990",0.000644504,1.784982788,0.882211029529572,0
145,123,"2040",0.595844306,1.685586503,0.00975199975073338,4.54193210601807
107,102,"2020",0.934015059,0.269208595,0.826520979404449,0
79,88,"2060",0.523250095,1.515251325,0.502040028572083,1.375
108,87,"1940",0.49494087,0.466249897,0.995000004768372,0
155,72,"1910",0.085441592,1.299115583,0.990696012973785,0.0740870013833046
58,96,"1970",0.662172956,0.883568873,0.992573022842407,0
84,69,"2030",0.046726312,0.98352263,0.467572003602982,0
95,98,"1910",0.607492408,1.504856247,0.995000004768372,0
44,99,"1980",0.228209954,1.908544865,0.995000004768372,0
39,84,"2020",0.604905283,0.0445326,0.995000004768372,0
198,92,"2060",0.032336793,1.690996199,0.141251996159554,4.54491186141968
34,113,"2040",0.92506267,1.875376403,0.995000004768372,0
87,86,"1950",0.224195301,0.235205062,0.995000004768372,0
156,115,"1950",0.044962378,0.390412461,0.903079986572266,1.05308997631073
164,130,"1940",0.194684118,1.890147193,0.448496013879776,1.77963805198669
73,62,"1930",0.773827852,1.153098891,0.995000004768372,0
214,80,"1980",0.903879589,1.1072989,0.507794976234436,1.54038000106812
89,69,"1980",0.032812169,1.922203614,0.977442026138306,0
137,120,"1940",0.446238875,1.490056317,0.133634001016617,1.47959995269775
70,21,"2050",0.488663801,1.647355086,0.576461970806122,0
119,64,"2020",0.415072696,1.185943852,0.1144730001688,0.499936997890472
223,74,"1950",0.109908479,0.009659677,0.386451989412308,0.616795003414154
183,66,"2030",0.811105768,0.891697813,0.00796699989587069,3.59999990463257
184,62,"2060",0.541797266,0.329163036,0.0371150001883507,4.24360609054565
91,119,"1910",0.185533181,1.198460004,0.995000004768372,0
67,122,"1950",0.232515275,1.533096212,0.995000004768372,0
169,36,"1970",0.673410648,1.92167084,0.991258978843689,0
10,98,"2020",0.107339339,1.55903654,0.765738010406494,0.752784013748169
18,33,"1980",0.383484286,1.468333599,0.980185985565186,0
45,78,"2060",0.201499395,0.875112705,0.992365002632141,0
25,69,"2010",0.536508628,0.06900187,0.901166021823883,0
43,50,"2010",0.569363426,1.946520854,0.135831996798515,2.75894808769226
88,98,"2040",0.246966737,1.139586857,0.558515012264252,0.230000004172325
2,117,"1900",0.820179535,1.864974066,1,0
211,125,"2000",0.201526,0.535350253,0.465999007225037,1.7701849937439
247,126,"1960",0.37347677,0.486954226,0.838895976543427,0.447362989187241
151,48,"2020",0.981482495,0.597748159,0.0756869986653328,0.991466999053955
79,123,"1950",0.526088235,1.042715863,0.995000004768372,0
106,72,"2000",0.058563836,0.919760064,0.47979798913002,0.757010996341705
6,43,"2020",0.776189716,0.045496024,0.51959502696991,1.03467297554016
220,78,"2000",0.212063369,1.852739361,0.615351021289825,0.610593974590302
81,33,"2050",0.44876054,1.785130899,0.617240011692047,1.03251397609711
86,72,"2030",0.816632685,1.041954161,0.946475028991699,0.0958660021424294
152,133,"1960",0.904602156,1.448215883,0.784861028194427,2.16433000564575
30,42,"1980",0.545976094,1.79900374,0.995000004768372,0
92,60,"2040",0.197858873,0.228566554,0.255153000354767,2.19663691520691
160,58,"2030",0.754556863,0.185626313,0.101979002356529,1.61761605739594
34,62,"1920",0.47773192,1.113035127,0.995000004768372,0
77,35,"1910",0.581601543,1.932814883,0.994985997676849,0.000239000000874512
146,72,"1960",0.166587818,0.736890865,0.344543993473053,1.75122499465942
54,101,"2060",0.333971068,1.401136989,0.162836998701096,1.26804196834564
63,105,"1950",0.088561701,0.697584634,0.994058012962341,0.0204729996621609
32,112,"1910",0.553050167,1.824190357,0.995000004768372,0
31,94,"1950",0.67992303,0.34407487,0.995000004768372,0
160,30,"1950",0.230161825,0.203804118,0.991258978843689,0
172,90,"1940",0.431906544,1.195102655,0.453911006450653,2.21074604988098
175,116,"1940",0.629725821,0.673859745,0.643890023231506,1.04981303215027
108,114,"2060",0.52619769,1.935510473,0.952641010284424,0
6,25,"1900",0.827600831,1.404026296,1,0
119,89,"1910",0.846693636,1.338240969,0.994997024536133,4.8999998398358e-05
83,36,"1950",0.570712774,0.145150558,0.991739988327026,0
81,88,"1900",0.847743362,1.57812352,1,0
109,31,"2000",0.194166159,1.089487337,0.618018984794617,0.555585026741028
121,74,"1960",0.330415246,0.035496382,0.958205997943878,0
208,116,"1980",0.69434312,0.690374322,0.870554983615875,0.545372009277344
9,18,"2010",0.299020136,0.302984884,0.615796983242035,0
75,41,"2050",0.552858117,1.284884448,0.109506003558636,1.21027004718781
9,15,"1940",0.757086512,1.559904566,0.995000004768372,0
150,18,"1970",0.383240301,1.543344105,0.991258978843689,0
132,61,"2050",0.628266879,1.593132349,0.145422995090485,2.51501297950745
62,27,"1960",0.613682424,0.69689712,0.995000004768372,0
163,36,"2040",0.9003343,1.345363197,0.991258978843689,0
196,62,"1920",0.48328871,0.63224035,0.991258978843689,0
61,20,"1920",0.784255194,1.753884159,0.995000004768372,0
201,130,"2040",0.827202736,1.7484223,0.696371972560883,0.342842996120453
126,68,"1980",0.098955932,0.846671613,0.600081026554108,0.0661650002002716
63,78,"2020",0.171352237,0.908008173,0.664174020290375,0.534568011760712
72,59,"1950",0.905928063,0.275380248,0.995000004768372,0
146,27,"1910",0.696884306,0.67176835,0.990902006626129,2.59999997069826e-05
19,58,"1980",0.38906617,1.176729418,0.985135018825531,0
22,124,"2050",0.316580524,1.185027602,0.995000004768372,0
8,108,"2020",0.257200001,1.939399633,0.995000004768372,0
52,17,"1960",0.364215928,0.129720223,0.987110018730164,0
19,44,"1970",0.061580292,1.998696085,0.981128990650177,0
146,21,"1900",0.893900186,0.7830696,1,0
178,47,"2020",0.51308588,1.495304078,0.929494976997375,0.0637829974293709
198,124,"1910",0.32445956,1.007111869,0.973492026329041,0.0683540031313896
103,75,"1930",0.106162965,0.102204604,0.989305973052979,0.0014009999576956
67,69,"2020",0.225160724,0.363159239,0.243897005915642,1.00499999523163
146,52,"2010",0.389916201,0.518079772,0.0441090017557144,1.63430798053741
59,90,"1930",0.447015296,0.761151062,0.995000004768372,0
133,42,"1940",0.335915456,1.108190511,0.947986006736755,0.0556650012731552
118,33,"1950",0.218834587,1.311777624,0.991236984729767,0.0647770017385483
204,77,"1940",0.483708836,0.909030019,0.764603972434998,2.29584288597107
38,35,"2000",0.812606154,1.258774487,0.887332022190094,0.213536992669106
17,118,"1990",0.770442991,0.414091901,0.995000004768372,0
69,25,"2050",0.452706708,1.93568793,0.730624973773956,0
26,100,"1910",0.589127051,0.593970586,0.995000004768372,0
188,61,"1900",0.553949554,0.326410696,1,0
78,109,"2020",0.799697089,0.359842231,0.83569598197937,0
48,11,"1990",0.131914809,1.924791353,0.979364991188049,0
94,5,"1920",0.691439785,1.078468848,0.988735020160675,0.10784400254488
174,40,"2020",0.017816677,0.142503345,0.99004602432251,0
149,109,"2000",0.980096082,0.719943988,0.118473999202251,5.51076889038086
209,89,"1930",0.805421492,0.849648333,0.440501004457474,1.29180300235748
190,122,"2000",0.659986837,0.15554503,0.909475028514862,0.100478999316692
50,116,"1910",0.361616238,0.311358777,0.995000004768372,0
133,29,"1900",0.934575096,1.672613387,1,0
47,48,"2050",0.031915772,0.249246755,0.0678619965910912,1.96222996711731
168,70,"2010",0.79591007,1.90129534,0.0406720004975796,1.88112699985504
54,69,"2010",0.247925689,1.853776194,0.73838198184967,0
85,47,"1940",0.739197462,0.469720949,0.992740988731384,0.0388780012726784
165,50,"2030",0.053758202,1.58203755,0.00835699960589409,2.85963702201843
126,88,"2000",0.207965288,1.45580015,0.259790003299713,1.79242897033691
52,12,"2010",0.196946661,0.519990523,0.284202009439468,0.366607993841171
81,114,"2040",0.153922201,0.799586577,0.270700007677078,2.1324999332428
152,81,"2010",0.833391027,1.245535623,0.0779960006475449,2.55803394317627
175,52,"1910",0.144972363,0.604650388,0.991258978843689,0
211,127,"1900",0.325346698,1.673004705,1,0
137,69,"1990",0.585159952,0.902507831,0.463315010070801,1.53486299514771
11,77,"1980",0.865151791,1.399520069,0.995000004768372,0
59,42,"2040",0.094144854,1.189504907,0.994943022727966,0
73,122,"2060",0.892000017,1.315765162,0.995000004768372,0
119,127,"1900",0.725885768,1.508607604,1,0
114,105,"1910",0.014828665,1.307710052,0.995000004768372,0
147,128,"1960",0.525438484,1.40400573,0.542572021484375,1.59070205688477
4,88,"1990",0.015770056,1.847363397,0.995000004768372,0
176,76,"2040",0.575193749,1.091654398,0.0215620007365942,4.47409915924072
5,112,"1950",0.525745906,1.243068449,0.995000004768372,0
59,106,"2060",0.731245653,1.173774617,0.746069014072418,0.135455995798111
99,81,"1930",0.591039409,1.268463943,0.995000004768372,0
146,104,"1930",0.861282562,0.495176538,0.593174993991852,0.832575023174286
48,88,"1910",0.13182786,0.714873343,0.995000004768372,0
206,120,"1920",0.647357768,1.147509568,0.906512022018433,0.56692099571228
52,95,"1940",0.280010071,1.565451062,0.995000004768372,0
131,62,"2030",0.947728751,0.952962318,0.103753998875618,1.11000001430511
66,43,"1920",0.915389953,1.475749608,0.995000004768372,0
10,60,"2040",0.272753071,0.794112831,0.995000004768372,0
154,27,"1970",0.416102672,0.221655397,0.605889022350311,1.17994999885559
180,119,"1960",0.062546234,0.501542631,0.187064006924629,3.01442408561707
210,105,"2010",0.959905583,0.139840983,0.202243998646736,4.59114503860474
166,92,"1990",0.11148128,1.003583728,0.3838210105896,1.62782895565033
238,125,"2060",0.859890581,0.9997492,0.97264301776886,0.0717350021004677
112,32,"1930",0.922862918,0.567175373,0.643073976039886,1.32770001888275
209,83,"1940",0.669756776,1.488860882,0.564480006694794,1.4536520242691
48,80,"2010",0.703551767,0.499006036,0.907374978065491,0
226,120,"1960",0.431669501,0.971183677,0.366690009832382,1.31200098991394
120,43,"1910",0.871435029,0.779950886,0.995000004768372,0
48,13,"1970",0.683837121,1.11147977,0.993219017982483,0
156,23,"1960",0.67022612,1.18979766,0.991258978843689,0
242,101,"2000",0.294118374,1.918725585,0.834800004959106,0.560679018497467
92,69,"1990",0.19280839,1.411583705,0.823822975158691,0
25,74,"2040",0.232017433,1.68542531,0.915207028388977,0
173,68,"1900",0.7838781,0.837376916,1,0
55,43,"1900",0.033854545,1.518969625,1,0
10,40,"2050",0.432543671,0.883623303,0.262611985206604,0.704797983169556
145,66,"2040",0.30969579,0.968168515,0.172151997685432,2.68881511688232
67,24,"1970",0.568656174,0.360273599,0.993582010269165,0
148,65,"2000",0.206754426,1.874806542,0.0192980002611876,2.27771496772766
147,122,"1900",0.744910041,1.258924343,1,0
151,116,"2040",0.901298386,1.219993666,0.0899220034480095,5.43524312973022
177,107,"1960",0.466697124,0.108937478,0.354548990726471,1.37270998954773
67,61,"1900",0.0082149,0.349849087,1,0
230,90,"2010",0.53827905,1.04723295,0.350221008062363,2.55379509925842
59,11,"1900",0.391975245,0.959685958,1,0
108,36,"1940",0.940814345,1.791756434,0.916979014873505,0.418945014476776
78,9,"1900",0.69674044,0.488150555,1,0
34,38,"1960",0.228651089,1.620598882,0.994615018367767,0
242,96,"2000",0.564589111,1.862343786,0.5939000248909,0.913938999176025
125,64,"2040",0.121708507,1.771874772,0.0606670007109642,2.69616103172302
212,100,"2000",0.94790889,1.96039504,0.428739994764328,1.18152105808258
147,29,"1960",0.952341678,0.536384607,0.931621015071869,0.0616640001535416
148,68,"2050",0.765209625,1.240271497,0.014572000131011,3.59999990463257
57,54,"1960",0.209371381,0.314828697,0.973806977272034,0
244,104,"1900",0.832388946,1.652813184,1,0
117,6,"2000",0.029117668,0.136843158,0.0273620001971722,1.16898202896118
82,17,"2000",0.603460595,0.533271886,0.575308978557587,1.14089000225067
56,25,"1940",0.586845835,1.900704072,0.995000004768372,0
100,102,"2000",0.214417449,1.000189702,0.499808996915817,1.37165594100952
154,59,"2010",0.157838144,1.432312797,0.00781199987977743,2.50802993774414
5,66,"1970",0.972740151,0.968021669,0.995000004768372,0
47,112,"1930",0.618150901,1.847872389,0.995000004768372,0
199,94,"1980",0.686529654,1.046997413,0.514819025993347,0.916445016860962
180,87,"1980",0.50265191,1.285298041,9.99999974737875e-05,2.65928506851196
168,30,"2000",0.889590171,1.676292138,0.946555972099304,0.0765459984540939
88,126,"2010",0.778555603,1.356704388,0.956414997577667,0
180,133,"1990",0.9230728,1.989576236,0.570900976657867,0.981015026569366
134,17,"1950",0.449992828,1.926147829,0.984175026416779,0.0055350000038743
92,74,"2060",0.290468703,1.778866656,0.242311000823975,1.79783701896667
166,99,"1970",0.423498599,0.471020515,0.173432007431984,2.04512810707092
203,92,"2050",0.762709345,1.757718916,0.0665759965777397,5.93245410919189
36,56,"1930",0.250773481,1.439504643,0.995000004768372,0
196,85,"1990",0.45589843,0.820566113,0.239728003740311,1.53968000411987
145,51,"1950",0.134254929,1.316491112,0.513298988342285,0.523923993110657
92,84,"1930",0.562280407,0.988927136,0.994983017444611,0.000300000014249235
7,92,"1940",0.52183245,0.057541894,0.995000004768372,0
56,37,"2000",0.112621719,0.840495312,0.936129987239838,0.337720990180969
90,15,"1990",0.065961721,1.935617474,0.167100995779037,1.91128301620483
49,25,"2000",0.223042905,1.526637733,0.899399995803833,0
109,9,"1950",0.784318573,0.799975741,0.964667975902557,0.354665011167526
203,122,"1980",0.62499288,0.167798585,0.827180981636047,0.524565994739532
179,51,"2000",0.443163981,1.024851354,0.829169988632202,0.159770995378494
104,27,"2030",0.313904367,0.280010784,0.610855996608734,0.380973994731903
104,70,"1920",0.213613271,1.682505299,0.991258978843689,0
14,113,"1980",0.300364612,1.114223246,0.995000004768372,0
19,70,"2020",0.970623719,0.102892992,0.974143028259277,0
245,100,"1990",0.144347888,0.796189023,0.700411021709442,0.954750001430511
114,38,"1900",0.900733731,1.827875106,1,0
222,101,"2040",0.32723186,1.545282313,0.188762992620468,4.62290191650391
34,83,"1930",0.599460954,1.347734908,0.995000004768372,0
98,77,"2040",0.960828396,0.181114436,0.173684000968933,1.21188104152679
37,41,"2020",0.4848959,1.982360744,0.224359005689621,2.86365509033203
222,83,"1950",0.576612211,0.296029721,0.644087970256805,1.4067690372467
53,87,"1990",0.254060766,0.424106197,0.896953999996185,0
20,115,"1940",0.375280483,0.769162693,0.995000004768372,0
67,45,"2040",0.254929465,1.044459588,0.395038992166519,0.626208007335663
82,87,"2000",0.271236546,0.36045544,0.776031970977783,0
66,29,"1940",0.04020402,0.084360649,0.977726995944977,0.0129060000181198
38,14,"1950",0.629057675,1.370367568,0.993093013763428,0.0328220017254353
156,73,"2060",0.079286351,0.950280434,0.00999999977648258,4.61225509643555
